widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
11e1,0,text,(Name of Corporation),entity.name,high,Domestic nonprofit corporation name (page-0 heading reads DOMESTIC NONPROFIT CORPORATION).
11e2,0,text,FIRST: The filing date of its articles of incorporation was ____,entity.original_articles_filing_date,high,Date the original articles of incorporation were filed with the Maine SOS. Reuses the existing key from CORP_MBCA-11 / CORP_MBCA-11I (where the same primitive appears on dissolution paths). Drafter initially proposed entity.articles_filing_date — corrected to the existing entity.original_articles_filing_date convention.
11e3,0,text,SIXTH: The address of the registered office of the corporation in the State of Maine is ____ (inline trailing blank),registered_office.address_line1,high,"Narrow trailing blank ending the SIXTH paragraph (rect x=419..571, right side). Same multi-line registered_office.address_line{1,2} pattern as sister NP_MNPCA-11 / 11A / 11C / NP_MNPCA-9. Drafter initially proposed registered_office.address — corrected to the address_line1/line2 split."
11e4,0,text,"SIXTH: ____ (street, city, state and zip code)",registered_office.address_line2,high,"Wide labeled line below the SIXTH paragraph for the registered office address (street, city, state and zip code). Drafter initially proposed registered_office.address_city_state_zip — corrected to the address_line2 convention."
11e5,1,text,DATED ____,filing.date_signed,high,Date the dissolution is signed by the incorporators (top-left of page 1).
11e6,1,text,*By ____ (incorporator) / (type or print name and capacity) — slot 1,incorporator_1.printed_name_and_capacity,high,"First incorporator's printed name and capacity (top-right block of page 1, y≈695). Per-officer signer pattern (2026-04-30-per-officer-signer-pattern.md). Note: existing MNPCA-6 / MBCA-6 use only `incorporator_N.printed_name` — this form's widget caption is '(type or print name and capacity)' rather than the simpler '(printed name)' caption used on MNPCA-6, so the combined `printed_name_and_capacity` shape is required to match the widget."
11e7,1,text,*By ____ (incorporator) / (type or print name and capacity) — slot 2,incorporator_2.printed_name_and_capacity,high,Second incorporator's printed name and capacity (y≈630).
11e8,1,text,*By ____ (incorporator) / (type or print name and capacity) — slot 3,incorporator_3.printed_name_and_capacity,high,Third incorporator's printed name and capacity (y≈559).
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($10 base per page-0 header plus expedite premium).
Name of contact person,2,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,2,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,"Annual-report reminder email. Note: post-dissolution, the entity ceases to exist — annual-report obligations end; the cover-letter widget remains a generic SOS form field."
Name of attested copy recipient,2,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
