widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
The name of the converting organization,0,text,FIRST: The name of the converting organization:,entity.name,high,Pre-conversion name of the Maine LP. Mirrors MBCA-21 / MBCA-21A which use entity.name for the pre-conversion party regardless of converting entity type. The 'converting organization' IS the filing entity.
The form of the converting organization,0,text,The form of the converting organization:,entity.organization_type,high,"Free-text legal form of the converting entity (typically 'Limited Partnership' since this form is LP-only, but the widget exists for completeness). NEW key — neither MBCA-21 nor MBCA-21A captured this because their entity types are implied by form scope."
The jurisdiction of the converting organizations governing statute,0,text,The jurisdiction of the converting organization's governing statute:,entity.governing_statute_jurisdiction,high,Jurisdiction whose statute governs the converting entity (typically 'Maine' on this form per 31 MRSA §1324). NEW key — distinct from entity.home_jurisdiction (which is a foreign-qualification concept). Documents the governing law explicitly even when it equals Maine.
The date of its organization,0,text,The date of its organization:,entity.formation_date,high,"Date the converting LP was originally formed under its governing statute. NEW key — analogous to entity.formation_date_in_home_jurisdiction (foreign-qualification flavor) but unscoped, used when the converting/recital entity may be domestic."
The name of the converted resulting organization,0,text,SECOND: The name of the converted (resulting) organization:,conversion.new_entity.name,high,Post-conversion entity name. Same key as MBCA-21 and MBCA-21A (preserves the conversion.new_entity.* convention).
The form of the converted resulting organization,0,text,The form of the converted (resulting) organization:,conversion.new_entity.type,high,"Free-text type of the resulting entity (e.g., 'Limited Liability Company', 'Business Corporation'). Same key as MBCA-21."
The jurisdiction of the converted resulting organizations governing statute,0,text,The jurisdiction of the converted (resulting) organization's governing statute:,conversion.new_entity.governing_statute_jurisdiction,high,Jurisdiction of the resulting entity's organic statute. NEW sub-key under conversion.new_entity.* — supports cross-jurisdiction conversions where the surviving entity is foreign.
The date of its organization_2,0,text,The date of its organization (resulting org):,conversion.new_entity.formation_date,high,Date the resulting entity was/will be formed under its governing statute. NEW sub-key under conversion.new_entity.*. May be the same as conversion.effective_date if the resulting entity comes into existence on conversion.
The address of its principal office is,0,text,The address of its principal office is:,conversion.new_entity.principal_office.physical_address,high,Single-line principal-office address of the resulting entity. Mirrors MLLC-12's entity.principal_office.physical_address shape (single line).
The date the conversion is effective under the governing statute of the converted organization,0,text,THIRD: The date the conversion is effective under the governing statute of the converted organization:,conversion.effective_date,high,"Required effective date of the conversion under the resulting entity's organic law. NEW key — distinct from MBCA-21's conversion.future_effective_date (which is OPTIONAL — 'if other than the date of filing'). On this form the effective date is required and is determined by the new entity's governing statute, so a separate key avoids conflating the two semantics."
