widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
1,0,text,(Name of Corporation Allowing Indistinguishable Name),entity.name,high,Top-of-form name field — the consenting Maine nonprofit corporation's current name. Domestic Maine entity; uses entity.name per the entity-name-vs-home-jurisdiction convention.
2,0,text,"FIRST: ...consents to the use of the following indistinguishable name: ___ (line 1, full-width)",indistinguishable_name.proposed_name,high,"FIRST line 1: the indistinguishable name itself — the name that the requestor wants to use, which is too similar to the consenting corporation's current entity.name."
3,0,text,"FIRST: to ___ (requestor of indistinguishable name) (line 2, full-width)",indistinguishable_name.requestor_name,high,FIRST line 2: the requestor entity — the entity that will use the indistinguishable name once consent is granted. Captioned '(requestor of indistinguishable name)'.
4,0,text,THIRD: The entity in possession of the name must change its name to:* ___,entity.new_name,high,THIRD: the consenting corporation's new name — the distinguishable name it will adopt to free up the indistinguishable name for the requestor. * footnote: 'This application must be accompanied by the applicable form to change its name as provided in Item Third.'
5,0,text,"FOURTH: The address of the registered office of the corporation allowing indistinguishable name in the State of Maine is ___ (street, city, state and zip code)",registered_agent.physical_address,high,FOURTH: Maine registered office of the consenting corporation. Maps to the existing registered_agent.physical_address namespace per convention.
6,0,text,DATED ___,filing.date_signed,high,Date of execution (narrow widget on the left of the signature row).
7,0,text,*By ___ (signature) / ___ (type or print name and capacity) — first signer,filing.signer.printed_name_and_capacity,high,"First *By signer's printed name and capacity (Shape D combined). Right side, upper position. The signature line above is decorative — the AcroForm widget is on the printed-name line."
8,0,text,*By ___ (signature) / ___ (type or print name and capacity) — second signer,filing.signer_2.printed_name_and_capacity,high,"Second *By signer's printed name and capacity (Shape D combined). Right side, lower position. Form footnote 'MUST be signed by any duly authorized officer' (singular) — second slot optional."
Name of entity,1,text,filing.entities[0].name,filing.entities[0].name,high,Mapped widget (live blank).
Name of entitys on the submitted filings 2,1,text,filing.entities[1].name,filing.entities[1].name,high,Cover-letter row 2.
Check Box14,1,checkbox,Hold attested copy for pick up,filing.expedited_service.hold_for_pickup,high,Mapped widget (live blank).
Check Box15,1,checkbox,24-hour expedited filing ($50),filing.expedited_service.expedite_24h,high,Mapped widget (live blank).
Check Box16,1,checkbox,Immediate expedited filing ($100),filing.expedited_service.immediate,high,Mapped widget (live blank).
Total fees enclosed,1,text,filing.total_fees_dollars,filing.total_fees_dollars,high,Total fees.
Name of contact person,1,text,filing.contact.name,filing.contact.name,high,Contact name.
Daytime telephone number,1,text,filing.contact.phone,filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,filing.contact.email,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,entity.annual_report_reminder_email,entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,1,text,filing.attested_copy_recipient.name,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,filing.attested_copy_recipient.firm,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,filing.attested_copy_recipient.mailing_address.street,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,filing.attested_copy_recipient.mailing_address.city_state_zip,filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
