widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
12b1,0,text,(Name of Corporation),entity.home_jurisdiction_name,high,"Foreign corporation's legal name in its home jurisdiction. Same key family as CORP_MBCA-12, LLC_MLLC-12, FICT-4 (foreign-entity-name convention)."
12b2,0,text,FIRST: The jurisdiction of its incorporation is,entity.home_jurisdiction,high,Home state or country of incorporation. Same key as CORP_MBCA-12.
12b3,0,text,SECOND: The date on which it was authorized to do business in the State of Maine is,entity.maine_authorization_date,high,Date the foreign corporation received Maine authority (a different concept from formation_date_in_home_jurisdiction; this is the Maine-specific qualification anniversary).
12b4,0,text,FOURTH: The type of other entity to which the foreign business corporation has been converted is ____,withdrawal.conversion.new_entity_type,high,"First-line trailing blank in FOURTH for the new entity type (e.g., 'limited liability company', 'nonprofit'). Optional — FOURTH is a conditional block triggered by withdrawal-upon-conversion."
12b5,0,text,"FOURTH: ____ (continuation of new entity type, narrow blank starting line 2)",withdrawal.conversion.new_entity_type,medium,Narrow second-line blank (~63pt wide) at the start of FOURTH's wrapped line 2; receives any overflow from 12b4 for the new-entity-type value. Same canonical key as 12b4 — synth/filler can repeat or split.
12b6,0,text,FOURTH: and the jurisdiction whose laws govern its internal affairs is ____,withdrawal.conversion.governing_jurisdiction,high,"Right-side trailing blank on FOURTH's line 2 for the governing jurisdiction of the converted entity. Optional, paired with 12b4/12b5."
12b7,0,text,"FIFTH: The mailing address to which the Secretary of State may mail a copy of any process served on the Secretary of State: ____ (street, city, state and zip code)",withdrawal.service_of_process_mailing_address,high,"Single full-width line for the mailing address used for service of process during the withdrawal period (FIFTH). The '(street, city, state and zip code)' parenthetical below the line is a label for this widget, not a separate widget."
12b8,0,text,DATED ____,filing.date_signed,high,Date of officer's signature.
12b9,0,text,*By ____ (signature of duly authorized officer) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,"Combined printed-name-and-capacity widget. Shape D (matches CORP_MBCA-11, CORP_MBCA-12, LLC_MLLC-12). The (signature) line above is wet-ink only with no widget."
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($90 base per page-0 header plus expedite premium).
Name of contact person,1,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,1,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,1,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
