widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,FIRST: Name of entity applying for revival is,entity.name,high,Domestic-entity convention — the entity's Maine-registered name. Distinct from `entity.home_jurisdiction_name` (foreign-only).
Text2,0,text,SECOND: Original date of filing with Secretary of States Office,entity.original_filing_date,high,Date the entity was originally formed in Maine (pre-dissolution). New canonical key — see schema_gaps.
Check Box24,0,text,THIRD A: Domestic Nonprofit Corporation (13-B MRSA §1117),revival.entity_type,high,Mutually-exclusive option = 'domestic_nonprofit_corp'.
Check Box25,0,text,THIRD C: Domestic Limited Liability Company (31 MRSA §1604),revival.entity_type,high,Mutually-exclusive option = 'domestic_llc'.
Check Box26,0,text,THIRD B: Domestic Business Corporation (13-C MRSA §1425),revival.entity_type,high,Mutually-exclusive option = 'domestic_business_corp'.
Check Box27,0,text,THIRD D: Domestic Limited Partnership (31 MRSA §1401-A),revival.entity_type,high,Mutually-exclusive option = 'domestic_lp'.
Text6,0,text,FOURTH: (name of clerk/registered agent),revival.clerk_at_dissolution.name,high,"Name of the clerk/registered agent on record at the time of dissolution. y=256 widget in the FOURTH section (top line of FOURTH). Distinct from `clerk_change.*` and `registered_agent.*` because this is a historical-record reference, not a current/new appointment."
Text7,0,text,"FOURTH: (street, city, state and zip code)",revival.clerk_at_dissolution.address,high,Single combined-line address of the clerk/registered agent on record at dissolution. y=211 widget (bottom line of FOURTH). Form does not split street from city/state/zip.
Text5,0,text,FIFTH: The purpose or purposes for which this revival is requested (line 1),revival.purpose,high,FIFTH section line 1 of 4. y=153. Multi-line free-text key — synth concatenates with newline separators across Text5/Text8/Text11/Text10.
Text8,0,text,FIFTH: (continuation line 2),revival.purpose,high,FIFTH section line 2 of 4. y=130.
Text11,0,text,FIFTH: (continuation line 3),revival.purpose,high,FIFTH section line 3 of 4. y=107.
Text10,0,text,FIFTH: (continuation line 4),revival.purpose,high,FIFTH section line 4 of 4. y=82 (bottom of page 1).
Text12,1,text,SIXTH: Time period needed to complete the purpose(s) specified in item fifth,revival.time_period_needed,high,"Duration string (e.g., '2 years' or 'through Dec 31 2027'). Free text — form gives no format guidance."
Text13,1,text,"SEVENTH: (type or print name) [Row 1, left column]",requesting_party_1.printed_name,high,First requesting party's name. Indexed-roster pattern (matches `incorporator_N.printed_name` from MBCA-6).
Text14,1,text,"SEVENTH: (type or print name) [Row 2, left column]",requesting_party_2.printed_name,high,Second requesting party.
Text15,1,text,"SEVENTH: (type or print name) [Row 3, left column]",requesting_party_3.printed_name,high,Third requesting party (form caps inline at 3).
Text16,1,text,SEVENTH: (street address) [Row 1],requesting_party_1.address.street,high,Street address paired with Text13 (same y row).
Text17,1,text,"SEVENTH: (city, state and zip code) [Row 1]",requesting_party_1.address.city_state_zip,high,City/state/zip combined for party 1.
Text18,1,text,SEVENTH: (street address) [Row 2],requesting_party_2.address.street,high,Street address paired with Text14.
Text19,1,text,"SEVENTH: (city, state and zip code) [Row 2]",requesting_party_2.address.city_state_zip,high,City/state/zip combined for party 2.
Text20,1,text,SEVENTH: (street address) [Row 3],requesting_party_3.address.street,high,Street address paired with Text15.
Text21,1,text,"SEVENTH: (city, state and zip code) [Row 3]",requesting_party_3.address.city_state_zip,high,City/state/zip combined for party 3.
Text22,1,text,DATED,filing.date_signed,high,Signature-row date on left.
Text23,1,text,(type or print name) [Signer],filing.signer.printed_name,high,Shape B — printed name only. The signature line itself ('(signature of any duly authorized person)') has no AcroForm widget; intended as wet-ink. Capacity ('any duly authorized person') is fixed by form text and not captured per-signer.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier = 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier = '24h_next_business_day' ($50/entity).
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier = 'immediate_same_day' ($100/entity).
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,"Base fee depends on revival.entity_type ($150 for business entities, $25 for nonprofit) plus optional expedite premium."
Name of contact person,2,text,Name of contact person,filing.contact.name,high,Filing-question contact.
Daytime telephone number,2,text,Daytime telephone number,filing.contact.phone,high,Daytime phone for contact.
Contact email address for this filing,2,text,Contact email address for this filing,filing.contact.email,high,Per-filing contact email.
Email address to use for annual report reminders,2,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Persistent recurring-reminder email tied to the entity post-revival.
Name of attested copy recipient,2,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient of the attested copy.
Firm or Company,2,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm/company.
Mailing Address,2,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street/PO box.
City State  Zip,2,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
