widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,FIRST: The name and entity type of the domestic nonfiling or foreign nonqualified entity is — (entity name),entity.name,high,Entity legal name. Form serves both domestic-nonfiling and foreign-nonqualified entities from a single entity.name widget — the SECOND jurisdiction block disambiguates.
Text2,0,text,(type of entity),entity.type,high,"Free-text legal type (e.g., 'General Partnership', 'Sole Proprietorship', 'Trust', 'Unincorporated Association'). Entity-typing is unique to this form because nonfiling/nonqualified entities don't have a fixed type-by-form like MBCA-6 (corporation) or MLLC-6 (LLC)."
Text3,0,text,SECOND: Jurisdiction of organization,entity.home_jurisdiction,high,"State or country of organization. Reuses the entity.home_jurisdiction key (also used by MLLC-12, MLPA-12A/12B, MBCA-12, MBCA-19, etc. — applies to both domestic and foreign entities here)."
Text4,0,text,THIRD: The name and address of the Agent for Service of Process is — (name of agent),agent.name,high,Name of the appointed §112 agent for service of process. Distinct namespace from registered_agent.* (used by formation forms) and clerk.* (used by NP/clerk-change forms) because §112 agents are neither registered nor noncommercial-clerk; they are a third pattern specific to nonfiling/nonqualified entities.
Text5,0,text,"(physical address – street, city, state and zip code – No P.O. Box)",agent.physical_address,high,Physical address of the §112 agent (single-line; form explicitly prohibits P.O. Box).
Text6,0,text,DATED ___,filing.date_signed,high,Date the statement was signed.
Text7,0,text,*By (signature) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,"Combined name+capacity of the duly authorized officer signing. Shape D (matches MBCA-11, MLLC-12, MBCA-21, MLLC-17)."
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2. Field-id has typo 'entitys' (no apostrophe) preserved upstream.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite enum value 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite enum value '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite enum value 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees (base $100 per page-0 header plus expedite premium).
Name of contact person,1,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,1,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,"Annual-report reminder email. Note: nonfiling/nonqualified entities don't typically file annual reports, but the cover-letter widget is present (universal cover-letter primitive)."
Name of attested copy recipient,1,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined. Field-id has double-space preserved upstream.
