widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
name,0,text,(Name of Limited Liability Company),entity.name,high,Domestic-LLC name at the top of the form (the LLC whose Statement of Authority is being amended/cancelled). entity.name per the entity-name-vs-home-jurisdiction convention since this is a Maine-record filing.
file date,0,text,FIRST: The Statement of Authority was originally filed on:,authority.original_filing_date,high,"Date the original Statement of Authority was filed with the SOS. Novel key — distinct from entity.original_articles_filing_date (which references the entity's formation/qualification filing, not a subordinate Statement of Authority)."
Check Box3,0,text,SECOND: [ ] Amendment of Statement of Authority,filing.action_type,high,Mutually-exclusive radio option for filing.action_type='amendment'.
person affected,0,text,Person or position the amendment affects:,amendment.affected_person_or_position,high,Identifies the person or position whose authority is being amended.
amend1,0,text,Description of amendment: (line 1),amendment.description_1,high,First of four description lines for the amendment. Indexed line shape (description_1..description_4) preserves the form's literal four-line layout — synth concatenates from a single logical description string at fill time.
amend2,0,text,Description of amendment: (line 2),amendment.description_2,high,Second description line.
amend3,0,text,Description of amendment: (line 3),amendment.description_3,high,Third description line.
amend4,0,text,Description of amendment: (line 4),amendment.description_4,high,Fourth description line.
Check Box9,0,text,[ ] Cancellation of Statement of Authority,filing.action_type,high,Mutually-exclusive radio option for filing.action_type='cancellation' (paired with Check Box3 above; only one of the two should be checked).
affected,0,text,Person or position the cancellation affects:,cancellation.affected_person_or_position,high,Identifies the person or position whose authority is being cancelled. Parallel to amendment.affected_person_or_position but scoped under cancellation.* because the form provides separate widgets per action.
cancel1,0,text,Description of authority that is being cancelled: (line 1),cancellation.description_1,high,First of four description lines for the cancellation.
cancel2,0,text,Description of authority that is being cancelled: (line 2),cancellation.description_2,high,Second cancellation description line.
cancel3,0,text,Description of authority that is being cancelled: (line 3),cancellation.description_3,high,Third cancellation description line.
cancel4,0,text,Description of authority that is being cancelled: (line 4),cancellation.description_4,high,Fourth cancellation description line.
exhibit,0,text,"Additional information is set forth in the attached Exhibit ___, and made a part hereof.",filing.additional_information_exhibit_letter,high,Inline exhibit-letter for additional information about the amendment/cancellation. Distinct from entity.additional_provisions_exhibit_letter (formation-style additional provisions) — this is filing-scoped and only applies when the amendment/cancellation needs more space than the four inline description lines.
dated,1,text,DATED ___,filing.date_signed,high,Signing date.
name and capacity1,1,text,Authorized Person(s) — slot 1 — (type or print name and capacity),filing.signer_1.printed_name_and_capacity,high,Combined name+capacity for authorized-person signer slot 1 — Shape D per filing-signer-shape convention. Multi-slot extension of filing.signer.* (filing.signer_N.* indexed list when the form provides multiple parallel signer slots) — same pattern as MLLC-5A.
name and capacity2,1,text,Authorized Person(s) — slot 2 — (type or print name and capacity),filing.signer_2.printed_name_and_capacity,high,Combined name+capacity for authorized-person signer slot 2.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,2,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($50 base per page-0 header plus expedite premium).
Name of contact person,2,text,Name of contact person,filing.contact.name,high,Filing-contact name.
Daytime telephone number,2,text,Daytime telephone number,filing.contact.phone,high,Filing-contact phone.
Contact email address for this filing,2,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,2,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
