widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,A: Charter Number (if known),mark.charter_number,high,SOS-assigned registration number for the mark being cancelled (optional per the form's '(if known)' qualifier).
Text2,0,text,"B.1: TEXT — list word(s) protected in the original registration, if any (line 1)",mark.text_words.line1,high,Word(s) of the mark being cancelled (line 1). Same key family as MARK_mark1.
Text3,0,text,B.1: TEXT (line 2),mark.text_words.line2,high,Word(s) of the mark (line 2).
Text4,0,text,"B.2: FEATURES — describe in detail the design protected in the original registration, if any (line 1)",mark.design_features.line1,high,Design-features description (line 1). Same key family as MARK_mark1.
Text5,0,text,B.2: FEATURES (line 2),mark.design_features.line2,high,Design-features description (line 2).
Text6,0,text,DATED,filing.date_signed,high,Date of cancellation signature.
Text7,0,text,(type or print name and capacity) [signature of registrant or assignee of record],mark.signer.printed_name_and_capacity,high,Printed name and capacity of the registrant or assignee of record. Mark forms use mark.signer.* (not filing.signer.*) — same convention as MARK_mark1.
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2 (note: typo 'entitys' preserved upstream).
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite enum value 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite enum value '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite enum value 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($10 base for cancellation per page 0 header).
Name of contact person,1,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,1,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,medium,"Annual-report reminder email — note: trademarks have no annual reports, but the cover-letter is shared across SOS divisions; field may be left blank for mark filings (same caveat as MARK_mark1)."
Name of attested copy recipient,1,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined (note: double-space in field-id preserved upstream).
