widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,FIRST: The name of the limited liability partnership* (in its home jurisdiction),entity.home_jurisdiction_name,high,Foreign LLP's legal name in its home jurisdiction. Same key as LLP_MLLP-2 / LP_MLPA-12A — entity-name-vs-home-jurisdiction convention applies.
Check Box18,0,checkbox,SECOND: (Check box only if applicable) This is a professional limited liability partnership** qualified pursuant to 13 MRSA Chapter 22-A,entity.is_professional_llp,high,Boolean elect-in for professional-LLP status. Parallel to LP_MLPA-9's entity.is_professional_lllp (different entity type — LLP vs LLLP).
Text2,0,text,SECOND: (used only when checkbox 18 is set) provide the following professional services:,entity.professional_services_description,high,Free-text services description. Required when entity.is_professional_llp=true.
Text3,0,text,THIRD: …the fictitious name under which it proposes to apply for authority to do business in the State of Maine is,entity.maine_fictitious_name,high,Fictitious name when the home-jurisdiction name is unavailable in Maine. Same key as LP_MLPA-12A.
Text4,0,text,FOURTH (For a professional LLP only): All of the professional limited liability partnership's partners are licensed in one or more states to render the professional services for which it has been formed,entity.professional_partners_licensed_statement,medium,Free-text recital confirming all partners are licensed for the relevant professional services. The widget is a text field rather than a checkbox; filers either enter a confirming statement or leave blank if not a professional LLP. Could be re-shaped as a boolean in a future redraft if attorney review supports that.
Check Box19,0,checkbox,[ ] Form FICT-4 accompanies this application.,filing.fict4_accompanies,high,Single yes/this-applies checkbox (on-state Yes) verified by geometry+text on page 0; boolean binding. Boolean indicating Form FICT-4 is bundled with this application. Same key as LP_MLPA-12A.
Text5,0,text,FIFTH: Date of organization,entity.formation_date_in_home_jurisdiction,high,Date the LLP was originally organized in its home jurisdiction. Same key as LLP_MLLP-2 / LP_MLPA-12A.
Text6,0,text,FIFTH: Jurisdiction of organization,entity.home_jurisdiction,high,Home jurisdiction (state/country) of formation.
Text7,0,text,"FIFTH: Address of the registered or principal office, wherever located, is: (physical location - street (not P.O. Box), city, state and zip code)",entity.principal_office.physical_address,high,Single-line physical address of the principal/registered office (in the home jurisdiction or wherever located). Same key as LP_MLPA-12A.
Text8,0,text,(mailing address if different from above) [principal office],entity.principal_office.mailing_address,high,Optional mailing address of the principal office.
Text9,0,text,SIXTH: The nature of the business or purposes to be conducted or promoted in the State of Maine is,entity.maine_business_purpose,high,Free-text description of activities to be conducted in Maine. Distinct from LLP_MLLP-2's entity.business_purpose (which is the LLP's general business activities) — this is Maine-specific.
Text10,1,text,Commercial path: CRA Public Number,registered_agent.cra_public_number,high,Maine SOS Commercial Registered Agent (CRA) public registration number — required when registered_agent.type='commercial'.
Text11,1,text,Commercial path: (name of commercial registered agent),registered_agent.name,high,Name of the commercial registered agent.
Text12,1,text,Commercial path: (name of commercial registered agent),registered_agent.name,high,Name of the noncommercial registered agent. Maps to the same canonical key as Text11 (commercial path) — only one path is populated per filing.
Text13,1,text,"Noncommercial path: (physical location, not P.O. Box – street, city, state and zip code)",registered_agent.physical_address,high,Maine physical address of the noncommercial registered agent (commercial path doesn't capture address — it's looked up via CRA Public Number).
Text14,1,text,Noncommercial path: (mailing address if different from above),registered_agent.mailing_address,high,Optional mailing address of the noncommercial registered agent.
Text15,1,text,NINTH: NAME (contact partner),contact_partner.name,high,Name of the contact partner — distinct from the registered agent (the contact partner is internal to the LLP; the registered agent is the agent for service of process). New key family for LLP filings.
Text16,1,text,NINTH: ADDRESS (contact partner),contact_partner.address,high,"Business, residence, or mailing address of the contact partner."
Text17,1,text,"TENTH: The date on which the foreign limited liability partnership first did, or intends to do, business in the State of Maine is",entity.maine_activities_start_date,high,Date the foreign LLP commenced or expects to commence Maine activities. New key for foreign-qualification filings; would also apply to MLLP-12 (parent form).
Check Box20,1,checkbox,SEVENTH: [ ] Commercial Registered Agent,registered_agent.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 1; enum_select value 'commercial'.
Check Box21,1,checkbox,SEVENTH: [ ] Noncommercial Registered Agent,registered_agent.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 1; enum_select value 'noncommercial'.
