widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,A. I hereby disclaim the exclusive right to (describe portion of text or feature disclaimed) — line 1,disclaimer.disclaimed_portion_description.line1,high,"First line of the description of the text/feature being disclaimed. Two-line widget composition matches the multi-line convention used on MARK_mark1 (mark.text_words.line{1,2}, etc.)."
Text2,0,text,A. (continuation) — line 2,disclaimer.disclaimed_portion_description.line2,high,"Second line of the disclaimed-portion description. Widget rect is directly below Text1 (y=632–651 vs Text1 y=655–676), confirming it's a continuation line, not a separate concept."
Text3,0,text,"B.1. TEXT - list word(s) to be protected, if any (if none, so indicate) — line 1",mark.text_words.line1,high,First line of word(s) being claimed as protected. Reuses mark.text_words.line1 from MARK_mark1 — the same concept (the mark's text words) appears in both the registration and the disclaimer; the disclaimer just restates them.
Text4,0,text,B.1. TEXT (continuation) — line 2,mark.text_words.line2,high,"Second line of mark.text_words. Widget rect (y=524–544) is directly below Text3 (y=547–566), confirming continuation."
Text5,0,text,"B.2. FEATURES - describe in detail the design to be protected, if any (if none, so indicate) — line 1",mark.design_features.line1,high,First line of design features being claimed as protected. Reuses mark.design_features.line1 from MARK_mark1.
Text6,0,text,B.2. FEATURES (continuation) — line 2,mark.design_features.line2,high,"Second line of mark.design_features. Widget rect (y=439–458) is directly below Text5 (y=463–483), confirming continuation."
Check Box9,0,checkbox,C. TYPE OF MARK: [ ] Trademark - a mark applied to goods applicant manufactures or sells.,mark.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=425.0); enum_select value 'trademark'.
Check Box10,0,checkbox,C. TYPE OF MARK: [ ] Service Mark - a mark used in connection with services applicant provides.,mark.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=448.3); enum_select value 'service_mark'.
Check Box11,0,checkbox,C. TYPE OF MARK: [ ] Combined Service/Trademark - a mark applied to goods and used in connection with services provided by the applicant.,mark.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=473.3); enum_select value 'combined_service_trademark'.
Check Box12,0,checkbox,C. TYPE OF MARK: [ ] Certification Mark - a mark used by an organization to certify the characteristics of goods or services provided by others.,mark.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=497.4); enum_select value 'certification_mark'.
Check Box13,0,checkbox,C. TYPE OF MARK: [ ] Collective Mark - a mark used by members of a collective organization in connection with goods or services,mark.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=521.6); enum_select value 'collective_mark'.
Text8,0,text,Dated:,filing.date_signed,high,Date the applicant signs the disclaimer.
