widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,FIRST: The name of the partnership is,entity.name,high,Maine general partnership name. Same key as GP_MPA-1 (Statement of Dissociation sibling).
Text2,0,text,Dated ____,filing.date_signed,high,Date the statement was signed.
Text3,0,text,Partner(s)* ... (type or print name),filing.signer.printed_name,high,"Printed name of an individual partner signing the statement — Shape B (name only). The (signature) line above is wet-ink only with no AcroForm widget. Matches GP_MPA-1's individual-signer mapping; filing.signer.* family applies because GP_MPA-2 is a post-formation statement on an existing partnership, not a formation filing (per-officer pattern is reserved for formation forms)."
Text4,0,text,For Partner(s) which are Entities — Name of Entity,filing.signer_entity.name,high,"Name of an entity-partner when the signer is itself an entity (LLC, corp, etc.) rather than an individual. Parallel block to Text3. Same key family as GP_MPA-1, LLP_MLLP-17, LLP_MLLP-17A."
Text5,0,text,For Partner(s) which are Entities — By ____ (authorized signature) / (type or print name and capacity),filing.signer_entity.signer_printed_name_and_capacity,high,Combined name+capacity of the natural person signing on behalf of the entity-partner. Same primitive as GP_MPA-1's filing.signer_entity.signer_printed_name_and_capacity.
cover1,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1. Note: this template uses bare 'cover1'/'cover2'/... field-ids (matching GP_MPA-1).
cover2,1,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2.
cover3,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
cover4,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
cover,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'. Field id is the bare string 'cover' (template anomaly — '5' suffix missing); same as GP_MPA-1.
cover6,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($75 base per page-0 header).
cover7,1,text,(Name of contact person),filing.contact.name,high,Contact name.
cover8,1,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
cover9,1,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
cover10,1,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
cover11,1,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
cover12,1,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
cover13,1,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
cover14,1,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
