widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,(Name of Corporation),entity.name,high,Entity-name blank at the top of the body. Domestic-Maine filing → entity.name (per schema-gaps/2026-04-30-entity-name-vs-home-jurisdiction.md). MLC-3 is domestic-only by §3025 scope.
Check Box1,0,checkbox,[ ] A. change of address,clerk_change.change_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=329.0); enum_select value 'address'.
Check Box3,0,checkbox,[ ] B. change of clerk and address,clerk_change.change_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=329.0); enum_select value 'clerk_and_address'.
Check Box2,0,checkbox,[ ] C. change of clerk,clerk_change.change_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=353.8); enum_select value 'clerk'.
Check Box4,0,checkbox,[ ] D. change in name of current clerk,clerk_change.change_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=352.9); enum_select value 'clerk_name'.
Text6,0,text,SECOND: (name of current clerk),clerk_change.current_clerk_or_agent_name,high,Existing clerk name on record. Same key as NP_CLKRA-3 / CORP_CLKRA-3.
Text7,0,text,"SECOND: (street, city, state and zip code) of current clerk",clerk_change.current_clerk_or_agent_address,high,"Existing clerk address on record. New key in the clerk_change.* namespace — CLKRA-3 doesn't capture current address (it only asks for the current name when modify_existing), but MLC-3 captures both for the §3025 dual-recital pattern. Single-line combined address (street + city + state + zip in one widget)."
Text8,0,text,THIRD: (name of new clerk or new name of current clerk),clerk_change.new_noncommercial_name,high,"New clerk name (when change_type ∈ {'clerk', 'clerk_and_address'}) OR new name of the current clerk (when change_type = 'clerk_name'). Same key as NP_CLKRA-3 — clerks for nonprofits/churches under §3025 are always noncommercial (no CRA model)."
Text9,0,text,"THIRD: (physical location, not P.O. Box - street, city, state and zip code)",clerk_change.new_noncommercial_physical_address,high,Physical address of the new clerk (or new address when change_type = 'address'). PO boxes prohibited per the parenthetical. Same key as NP_CLKRA-3.
Text10,0,text,THIRD: (mailing address if different from above),clerk_change.new_noncommercial_mailing_address,high,Optional mailing address; left blank if the same as the physical address. Same key as NP_CLKRA-3.
Text11,1,text,DATED ___,filing.date_signed,high,Date the change-of-clerk filing is signed.
Text12,1,text,*By ___ (signature) / (type or print name and capacity) [Signer 1],filing.signer_1.printed_name_and_capacity,high,"First authorized signer (Shape D — combined name+capacity, paired with a wet-ink (signature) line that has no AcroForm widget). Page-1 footnote requires at least one signer (the clerk or another duly authorized officer); this slot is required. Indexed pattern matches LLC_MLLC-15 / LLC_MLLC-13A precedent for forms with two parallel signer slots."
Text13,1,text,*By ___ (signature) / (type or print name and capacity) [Signer 2],filing.signer_2.printed_name_and_capacity,medium,Second authorized signer (Shape D). The §3025 statute requires only one signer (the clerk or another duly authorized officer); this second slot is optional and used when the corporation's bylaws require dual authorization or when both the outgoing and incoming clerks countersign.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2. Field-id has typo 'entitys' (no apostrophe) preserved upstream.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite enum value 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite enum value '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite enum value 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($5 base per page-0 header plus expedite premium).
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined. Field-id has double-space ('City State  Zip') preserved upstream.
