widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Name of Corporation,0,text,(Name of Corporation),entity.home_jurisdiction_name,high,Foreign corporation's name in its home (pre-transfer) jurisdiction. Foreign-entity-name convention; same key as MLLC-12 / MLPA-12B / MBCA-2A.
The current jurisdiction of its incorporation is,0,text,FIRST: The current jurisdiction of its incorporation is,entity.home_jurisdiction,high,State or country where the entity is currently incorporated (pre-transfer). Same key as MLLC-12 / MLPA-12B.
undefined_2,0,text,and the date on which it was authorized to transact business in the State of Maine is,entity.maine_authorization_date,high,Original date the foreign corporation qualified in Maine (before the transfer). Same key as MLPA-12B / FICT-4 / CLKRA-3.
Check Box1,0,text,SECOND: Foreign Nonprofit Corporation,transfer.new_entity_type,high,Radio option — enum value 'foreign_nonprofit_corporation' (paired with attached MNPCA-12 per FOURTH).
Check Box2,0,text,SECOND: Foreign Limited Partnership,transfer.new_entity_type,high,Radio option — enum value 'foreign_limited_partnership' (paired with attached MLPA-12 per FOURTH).
Check Box3,0,text,SECOND: Foreign Limited Liability Company,transfer.new_entity_type,high,Radio option — enum value 'foreign_limited_liability_company' (paired with attached MLLC-12 per FOURTH).
Check Box4,0,text,SECOND: Foreign Limited Liability Partnership,transfer.new_entity_type,high,Radio option — enum value 'foreign_limited_liability_partnership' (paired with attached MLLP-12 per FOURTH).
undefined_6,0,text,THIRD: The new jurisdiction whose laws govern its internal affairs is,transfer.new_governing_jurisdiction,high,"Jurisdiction governing the entity's internal affairs after the transfer. May equal or differ from entity.home_jurisdiction (e.g., re-domestication to a third state during entity-type conversion)."
DATED,0,text,DATED,filing.date_signed,high,Date of signature.
type or print name and capacity,0,text,By (signature of an officer or other duly authorized representative) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,Combined signer printed name and capacity (Shape D). Form footnote requires §1524.1 authorization (officer or other duly authorized representative).
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2 (typically holds the bundled Application for Authority's filer entity name).
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite enum value 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite enum value '24h_next_business_day' (+$50).
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite enum value 'immediate_same_day' (+$100).
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,"Total fees: $70 base for MBCA-12C (per page-0 header) plus the bundled Application for Authority's own filing fee plus expedite premium. Synth/rubric should treat this as a sum, not just $70."
Name of contact person,1,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,1,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email (entity-level).
Name of attested copy recipient,1,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
