widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,(Name of Entity),entity.name,high,"Legal name of the Maine entity whose clerk/RA address is being updated. Single-line widget at the top-left of page 0 (rect [40.5, 564.7, 285.8, 582.7])."
Text2,0,text,FIRST: The name of the clerk/registered agent as it appears on the record in the Secretary of State's office:,clerk_change.current_clerk_or_agent_name,high,Existing clerk/RA name on record — used to identify which RA record is being updated. Reuses CORP_CLKRA-3's clerk_change.current_clerk_or_agent_name.
Text3,0,text,"SECOND: The old address of the clerk/registered agent as it appears on the record in the Secretary of State's office: (street, city, state and zip code - old address)",clerk_change.old_address,high,Single-line old address (street + city + state + zip combined). New schema-gap key in the established clerk_change.* namespace — CORP_CLKRA-3 didn't capture old address because the entity-initiated form identifies the existing record by name only.
Text4,0,text,"THIRD: The new address of the clerk/registered agent: (physical location, not P.O. Box – street, city, state and zip code)",clerk_change.new_physical_address,high,"New physical-location address (no P.O. Box). New key — CORP_CLKRA-3 used clerk_change.new_noncommercial_physical_address because that form distinguishes commercial vs noncommercial RAs. RO-E911 does not qualify, so a generic clerk_change.new_physical_address is more appropriate (the existing clerk/RA may be either type)."
Text5,0,text,(mailing address if different from above),clerk_change.new_mailing_address,high,Optional new mailing address. Parallel to clerk_change.new_physical_address — generic (not type-qualified).
Text6,0,text,FOURTH: This change of address was duly authorized by (choose one): [ ] Town/Municipality,clerk_change.address_change_authorized_by,high,"Town/Municipality 'checkbox' implemented as a tiny /Tx widget at rect [140.3, 202.5, 156.0, 215.2] (template anomaly — typically /Btn, here it is /Tx, filler types 'X' to mark selected). Enum value 'town_municipality'. Mutually exclusive with Text7."
Text7,0,text,FOURTH: ... [ ] U.S. Postal Service,clerk_change.address_change_authorized_by,high,"U.S. Postal Service 'checkbox' implemented as a tiny /Tx widget at rect [360.0, 203.2, 375.8, 217.5]. Enum value 'us_postal_service'. Mutually exclusive with Text6."
Text8,0,text,DATED ___,filing.date_signed,high,"Date of signature, on the bottom-left at rect [72.0, 154.2, 199.5, 176.2]."
Text9,0,text,*By ___ (signature) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,"Combined printed-name-and-capacity widget for the municipal official or postmaster, at rect [317.3, 121.5, 578.3, 137.2]. Shape D. The (signature) line above is wet-ink only with no AcroForm widget."
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1. Should mirror entity.name.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2. Field-id has typo 'entitys' (no apostrophe) preserved upstream.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,"Total fees. Page-0 header says 'No Filing Fee', so base is $0; only expedite premium ($50 / $100 / $0) is charged when an expedite tier is selected."
Name of contact person,1,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,1,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,medium,"Annual-report reminder email — typically left blank on RO-E911 since the filing is municipality- or USPS-initiated, not entity-initiated."
Name of attested copy recipient,1,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined. Field-id has double-space ('City State  Zip') preserved upstream.
