widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,(Name of Corporation),entity.home_jurisdiction_name,high,"Foreign nonprofit's legal name in its home jurisdiction; same key family as CORP_MBCA-12B (corporate counterpart), MBCA-12, MLLC-12, FICT-4 (foreign-entity-name convention per entity-name-vs-home-jurisdiction.md)."
Text2,0,text,FIRST: The jurisdiction of its incorporation is ___,entity.home_jurisdiction,high,Home state or country. Same key as CORP_MBCA-12B.
Text3,0,text,SECOND: The date on which it was authorized to carry on activities in the State of Maine is ___,entity.maine_authorization_date,high,"Date the foreign nonprofit received Maine authority via the original NP_MNPCA-12 application. Same key as CORP_MBCA-12B (Maine-specific qualification anniversary, distinct from formation_date_in_home_jurisdiction)."
Text4,0,text,"FIFTH: The post-office address to which the Secretary of State shall mail a copy of any process served upon him against the corporation is ___ (street, city, state and zip code)",withdrawal.service_of_process_mailing_address,high,Single full-width line for the post-surrender mailing address used for service of process on the Secretary of State. Re-uses the existing withdrawal.service_of_process_mailing_address key from CORP_MBCA-12B (the corporate counterpart) — the surrender filing serves the same statutory purpose under 13-B MRSA §1208 as withdrawal under 13-C §1521. Drafter originally proposed entity.post_surrender_service_address (novel) — corrected to the established withdrawal.* primitive.
Text5,0,text,"SIXTH: The address of the principal or registered office of the corporation, wherever located, is ___ (street, city, state and zip code)",entity.principal_office.physical_address,high,"Single full-width physical address of the principal/registered office (may be outside Maine). Same key as MBCA-12 SIXTH and MLLC-12. Note: NP_MNPCA-12B has only the physical line — no separate optional mailing-address widget like MBCA-12's Text9, so entity.principal_office.mailing_address does not apply here."
Text6,1,text,DATED ___,filing.date_signed,high,Date of authorized individual's signature.
Text7,1,text,*By ___ (signature of any duly authorized individual) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,"Combined name+capacity widget, Shape D (matches CORP_MBCA-12B, MBCA-11, MLLC-12). The (signature) line above is wet-ink only with no widget."
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($15 base per page-0 header plus expedite premium).
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email (unusual on a surrender — the entity is exiting Maine — but the cover-letter widget is present).
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
