widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text10,0,text,(Name of Limited Partnership),entity.name,high,Name of the Maine limited partnership the limited partner is withdrawing from.
Text11,0,text,FIRST: The limited partner named herein withdraws... (Name of Limited Partner),withdrawing_limited_partner.name,high,Recital identifying the limited partner being withdrawn (used regardless of whether the partner is an individual or an entity).
Text12,0,text,Dated ____,filing.date_signed,high,Date of the withdrawal statement.
Text13,0,text,Limited Partner*: (signature) / (type or print name),withdrawing_limited_partner.printed_name,high,Printed name of the individual limited partner who signed the 'Limited Partner*' line. Used when the withdrawing partner is a natural person.
Text14,0,text,For Limited Partner(s) which are Entities: Name of Entity,withdrawing_limited_partner_entity.name,high,Name of the entity acting as the withdrawing limited partner. Used instead of the individual block when the limited partner is a corporate/entity partner.
Text15,0,text,For Limited Partner(s) which are Entities: By (authorized signature) / (type or print name and capacity),withdrawing_limited_partner_entity.signer_printed_name_and_capacity,high,"Printed name and capacity of the natural person signing on behalf of the entity limited partner. Mirrors the entity-officer signer pattern (general_partner_entity_N, incorporator_entity_N) under a withdrawing-LP role prefix."
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees.
Name of contact person,1,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,1,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,1,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
