widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Name of Maine or Foreign Limited Liability Company,0,text,(Name of Maine or Foreign Limited Liability Company),entity.name,high,Top-of-form LLC name. Form serves both Maine domestic and foreign LLCs from a single 'entity.name' widget — the FIRST jurisdiction block disambiguates. Same approach as sister-form CORP_MBCA-13A and LP_MLPA-13A.
undefined_2,0,text,FIRST: The jurisdiction of its organization is,entity.home_jurisdiction,high,"State or country of organization (for a domestic LLC, 'Maine'; for a foreign LLC, the home jurisdiction). Same key family as MLLC-12, MBCA-12, MBCA-13A, LP_MLPA-13A — the universal 'home jurisdiction' primitive that works for both domestic and foreign filings. (Drafter initially proposed entity.jurisdiction_of_organization; corrected during review per established convention.)"
undefined_3,0,text,SECOND: The date the current year's annual report was filed,filing.original_annual_report_date,high,Date the original annual report (the one being amended) was filed with SOS. Anchor for the §1666 amendment-window check. Same key as CORP_MBCA-13A and LP_MLPA-13A.
The information that has changed attach additional pages if necessary 1,0,text,"THIRD: The information that has changed (attach additional pages, if necessary): line 1",amendment.changes_description.line1,high,Multi-line text widget for the substantive change description. Indexed line1–line6 mirroring the LP_MLPA-13A / CORP_MBCA-13A amendment.changes_description.lineN pattern (which use 8 and 4 lines respectively). MLLC-13A has 6 inline lines; overflow goes to attached additional pages. (Drafter initially proposed amendment.changes_description_N with underscore; corrected to dotted .lineN per existing convention.)
The information that has changed attach additional pages if necessary 2,0,text,THIRD: amendment text (line 2),amendment.changes_description.line2,high,THIRD line 2.
The information that has changed attach additional pages if necessary 3,0,text,THIRD: amendment text (line 3),amendment.changes_description.line3,high,THIRD line 3.
The information that has changed attach additional pages if necessary 4,0,text,THIRD: amendment text (line 4),amendment.changes_description.line4,high,THIRD line 4.
The information that has changed attach additional pages if necessary 5,0,text,THIRD: amendment text (line 5),amendment.changes_description.line5,high,THIRD line 5.
The information that has changed attach additional pages if necessary 6,0,text,THIRD: amendment text (line 6 — bottom),amendment.changes_description.line6,high,THIRD line 6 (bottom). Attach additional pages if more than 6 lines needed.
The date this information changed is,0,text,FOURTH: The date this information changed is,amendment.effective_date,high,Date on which the reported changes actually occurred (the operative date of the underlying change). Same key as CORP_MBCA-13A and LP_MLPA-13A; canonical amendment.effective_date primitive. (Drafter initially proposed amendment.effective_date_of_change; corrected during review.)
DATED,1,text,DATED ___,filing.date_signed,high,Date the amended annual report was signed.
type or print name and capacity,1,text,(type or print name and capacity) [Signer 1],filing.signer_1.printed_name_and_capacity,high,"First authorized signer (Shape D — combined name+capacity, paired with a wet-ink (signature) line that has no AcroForm widget). Statute (§1676.1B) requires at least one; this slot is required. Same indexed pattern as LLC_MLLC-15."
type or print name and capacity_2,1,text,(type or print name and capacity) [Signer 2],filing.signer_2.printed_name_and_capacity,high,Second authorized signer (Shape D). Statute (§1676.1B) only mandates one signer; this second slot is optional and used when the LLC's operating agreement calls for dual authorization.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2. Field-id has typo 'entitys' (no apostrophe) preserved upstream.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite enum value 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite enum value '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite enum value 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,"Total fees plus expedite premium ($85 domestic / $150 foreign base; $50 for 24h, $100 for immediate)."
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined. Field-id has double-space ('City State  Zip') preserved upstream.
