widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
name,0,text,(Name of Limited Liability Company),entity.name,high,Primary entity name field at the top of the form.
person1,0,text,(name of person or position),authority_1.person_or_position,high,First authority block: name of the person or existing position being granted authority or limitations under §1542.1.
authority1,0,text,Authority granted or limitations: (line 1),authority_1.authority_text_line_1,high,Line 1 of free-form authority text for authority block 1.
authority2,0,text,Authority granted or limitations: (line 2),authority_1.authority_text_line_2,high,Line 2 of free-form authority text for authority block 1.
authority3,0,text,Authority granted or limitations: (line 3),authority_1.authority_text_line_3,high,Line 3 of free-form authority text for authority block 1.
authority4,0,text,Authority granted or limitations: (line 4),authority_1.authority_text_line_4,high,Line 4 of free-form authority text for authority block 1.
person2,0,text,(name of person or position),authority_2.person_or_position,high,Second authority block: person or position.
authority5,0,text,Authority granted or limitations: (line 1),authority_2.authority_text_line_1,high,Line 1 of authority text for authority block 2.
authority6,0,text,Authority granted or limitations: (line 2),authority_2.authority_text_line_2,high,Line 2 of authority text for authority block 2.
authority7,0,text,Authority granted or limitations: (line 3),authority_2.authority_text_line_3,high,Line 3 of authority text for authority block 2.
authority8,0,text,Authority granted or limitations: (line 4),authority_2.authority_text_line_4,high,Line 4 of authority text for authority block 2.
person3,1,text,(name of person or position),authority_3.person_or_position,high,Third authority block: person or position.
authority9,1,text,Authority granted or limitations: (line 1),authority_3.authority_text_line_1,high,Line 1 of authority text for authority block 3.
authority10,1,text,Authority granted or limitations: (line 2),authority_3.authority_text_line_2,high,Line 2 of authority text for authority block 3.
authority11,1,text,Authority granted or limitations: (line 3),authority_3.authority_text_line_3,high,Line 3 of authority text for authority block 3.
authority12,1,text,Authority granted or limitations: (line 4),authority_3.authority_text_line_4,high,Line 4 of authority text for authority block 3.
exhibit,1,text,"Additional information is set forth in the attached Exhibit ____, and made a part hereof.",authority.additional_exhibit_letter,high,"Inline exhibit letter for additional authority blocks beyond the three inline slots. Scoped under authority.* (not filing.*) because the exhibit content is the authority recital itself, not a generic filing attachment."
dated,1,text,DATED ____,filing.date_signed,high,Date the filing was signed by the authorized person(s).
name and capacity1,1,text,(authorized signature) / (type or print name and capacity) — signer 1,filing.signer_1.printed_name_and_capacity,high,"First authorized signer's name and capacity. Multi-signer Shape D variant (filing.signer_N.* with N=1..3). The N suffix distinguishes from the single-filer Shape D used on MBCA-11/MLLC-12 (filing.signer.printed_name_and_capacity, no N)."
name and capacity2,1,text,(authorized signature) / (type or print name and capacity) — signer 2,filing.signer_2.printed_name_and_capacity,high,Second authorized signer.
name and capacity3,1,text,(authorized signature) / (type or print name and capacity) — signer 3,filing.signer_3.printed_name_and_capacity,high,Third authorized signer.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees.
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
