widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Name of Limited Liability Partnership,0,text,(Name of Limited Liability Partnership),entity.name,high,Identifying name of the LLP at the top of the body. This form serves both domestic and foreign LLPs (FIRST captures the jurisdiction); entity.name is the canonical handle regardless. For foreign LLPs the value here is the home-jurisdiction name (no separate Maine-fictitious-name widget on this form).
undefined_2,0,text,FIRST: The jurisdiction of its organization is,entity.home_jurisdiction,high,State or country where the LLP is organized. Same key as MLLP-12 / MLLC-12 (foreign-qualification forms). For domestic LLPs the value is 'Maine' or 'ME'.
undefined_3,0,text,SECOND: The date the current year's annual report was filed,amendment.original_filing_date,high,Date the prior (original) annual report being amended was filed. Namespaced under amendment.* to indicate it identifies the underlying filing being corrected (analogous role to entity.maine_authorization_date on cancellation forms — a metadata pointer to the prior SOS record).
The information has changed as follows attach additional pages if necessary 1,0,text,"THIRD: The information has changed as follows (attach additional pages, if necessary): [line 1]",amendment.changes_description.line1,high,"First of five inline text lines describing the substantive changes being filed. Multi-line widget composition mirrors MARK1's `mark.text_words.line{1,2}` and `mark.goods_or_services_description.line{1,2}` conventions: each physical AcroForm widget gets its own .lineN suffix so synth/filler can populate distinct widgets without collapsing them into a single canonical key."
The information has changed as follows attach additional pages if necessary 2,0,text,THIRD: ... [line 2],amendment.changes_description.line2,high,Second line of the THIRD changes-description block.
The information has changed as follows attach additional pages if necessary 3,0,text,THIRD: ... [line 3],amendment.changes_description.line3,high,Third line.
The information has changed as follows attach additional pages if necessary 4,0,text,THIRD: ... [line 4],amendment.changes_description.line4,high,Fourth line.
The information has changed as follows attach additional pages if necessary 5,0,text,THIRD: ... [line 5],amendment.changes_description.line5,high,"Fifth (last) inline line. Form text says 'attach additional pages, if necessary' for overflow beyond five lines; the attachment is a separate document, not a form widget."
undefined_4,0,text,FOURTH: This information changed on (date),amendment.effective_date,high,"Date on which the underlying information actually changed (semantically the 'effective date' of the change, distinct from filing.date_signed which is when the amendment is signed/filed)."
DATED,1,text,DATED ___,filing.date_signed,high,Date of signature in the page-1 signature block.
type or print name and capacity,1,text,Partner(s)* ... (signature) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,"Individual-partner signer printed name + capacity (Shape D, matches MLLP-9, MLLP-12, MLLC-12). Wet-ink (signature) line above has no AcroForm widget."
Name of Entity,1,text,For Partner(s) which are Entities — Name of Entity,filing.signer_entity.name,high,"Name of the entity-partner when the signer is an entity rather than an individual. Same key as MLLP-9, MLLP-12A — parallel filer-level entity-signer block."
type or print name and capacity_2,1,text,For Partner(s) which are Entities — By ___ (authorized signature) / (type or print name and capacity),filing.signer_entity.signer_printed_name_and_capacity,high,"Combined name+capacity of the natural person signing on behalf of the entity-partner. Same key as MLLP-9, MLLP-12A."
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,2,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day' ($50 additional).
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day' ($100 additional).
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total enclosed fees. Page-0 header lists $85 (domestic LLP) or $150 (foreign LLP) base — fee depends on entity.home_jurisdiction (Maine vs not-Maine).
Name of contact person,2,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,2,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Persistent annual-report reminder email.
Name of attested copy recipient,2,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
