widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,FIRST: The proposed limited partnership name* to be used in this State,entity.maine_assumed_name_for_suffix,high,"The name the foreign LP will use in Maine (per 31 MRSA §1308.1.A.2 must contain 'Limited Partnership', 'L.P.', or 'LP'). This form does not capture the home-jurisdiction name separately — the certificate of existence required by TENTH attests to the home name. Same key family as LP_MLPA-12A's `entity.maine_assumed_name_for_suffix` schema-gap."
Text2,0,text,SECOND: …the fictitious name under which it proposes to apply for authority to do business in the State of Maine is,entity.maine_fictitious_name,high,"Fictitious Maine name under 31 MRSA §1415.1 when the home name is unavailable in Maine. Same key as FICT-4, MLLC-12, LP_MLPA-12A."
Check Box23,0,checkbox,[ ] Form FICT-4 accompanies this application.,filing.fict4_accompanies,high,"Single yes/this-applies checkbox (on-state Yes) verified by geometry+text on page 0; boolean binding. Boolean indicating that Form FICT-4 (Fictitious Name Registration) is bundled. Same key as LP_MLPA-12A, LP_MLPA-9."
Check Box24,0,checkbox,THIRD: …The foreign limited partnership is a limited liability limited partnership.,entity.is_lllp,high,"Boolean elect-in for LLLP status (per the THIRD footnote, the FIRST name must then contain 'LLLP' or 'L.L.L.P.'). Same key as LP_MLPA-9."
Check Box25,0,checkbox,FOURTH: …This is a professional limited liability limited partnership** qualified pursuant to 31 MRSA §1354.4.,entity.is_plllp,high,Boolean elect-in for PLLLP status. Same key as LP_MLPA-9.
Text3,0,text,(provide the following professional services: ...) line 1,entity.professional_services_description.line1,high,First line of the professional-services description (PLLLP only). Indexed line1/line2 mirroring the multi-line widget primitive used elsewhere (amendment.changes_description.lineN on MLPA-13A).
Text4,0,text,(provide the following professional services: ...) line 2,entity.professional_services_description.line2,high,Second line of the professional-services description.
Text5,0,text,FIFTH: Date of organization,entity.formation_date_in_home_jurisdiction,high,"Date the LP was originally organized in its home jurisdiction. Same key as LP_MLPA-12A, LLP_MLLP-12-1."
Text6,0,text,FIFTH: Jurisdiction of organization,entity.home_jurisdiction,high,"State or country where the LP was organized. Same key family as LP_MLPA-12A, LLP_MLLP-12-1."
Text7,0,text,"FIFTH: The street and mailing address of the foreign limited partnership's principal office is: (physical location, street – not P.O. Box, city, state and zip code)",entity.principal_office.physical_address,high,Single-line physical address of the principal office. Same key as LP_MLPA-12A.
Text8,0,text,FIFTH: (mailing address if different from above),entity.principal_office.mailing_address,high,Mailing address of the principal office (when different).
Text9,0,text,"SIXTH: The street and mailing address of the foreign limited partnership's required office is: (physical location, street – not P.O. Box, city, state and zip code)",entity.required_office.physical_address,high,Physical address of the required office in the home jurisdiction (only applicable if home jurisdiction's law requires the LP to maintain a required office). Same key as LP_MLPA-12A.
Text10,0,text,SIXTH: (mailing address if different from above),entity.required_office.mailing_address,high,Mailing address of the required office (when different).
Check Box26,1,checkbox,SEVENTH: [ ] Commercial Registered Agent,registered_agent.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 1; enum_select value 'commercial'.
Text11,1,text,SEVENTH: CRA Public Number,registered_agent.cra_public_number,high,"CRA Public Number, required when registered_agent.type = 'commercial'."
Text12,1,text,SEVENTH: (name of commercial registered agent),registered_agent.name,high,Name of the commercial registered agent (one of two name slots — the second is for noncommercial). Synth picks whichever is consistent with registered_agent.type.
Check Box27,1,checkbox,SEVENTH: [ ] Noncommercial Registered Agent,registered_agent.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 1; enum_select value 'noncommercial'.
Text13,1,text,SEVENTH: (name of noncommercial registered agent),registered_agent.name,high,Name of the noncommercial registered agent (alternative slot to Text12). Same canonical key — synth fills exactly one of Text12/Text13 based on registered_agent.type.
Text14,1,text,"SEVENTH: (physical location, not P.O. Box – street, city, state and zip code) [registered agent]",registered_agent.physical_address,high,"Physical address of the registered agent in Maine (single-line: street, city, state, zip)."
Text15,1,text,SEVENTH: (mailing address if different from above) [registered agent],registered_agent.mailing_address,high,Mailing address of the registered agent (when different).
Text16,1,text,NINTH: Name (general partner row 1),general_partner_1.name,high,"Name of the first general partner. Same per-officer roster pattern as LP_MLPA-12A, LP_MLPA-13A."
Text17,1,text,NINTH: Address (general partner row 1),general_partner_1.address,high,Address of the first general partner.
Text18,1,text,NINTH: Name (general partner row 2),general_partner_2.name,high,Name of the second general partner.
Text19,1,text,NINTH: Address (general partner row 2),general_partner_2.address,high,Address of the second general partner.
Text20,1,text,NINTH: Name (general partner row 3),general_partner_3.name,high,Name of the third general partner.
Text21,1,text,NINTH: Address (general partner row 3),general_partner_3.address,high,Address of the third general partner.
Check Box28,1,checkbox,"[ ] Names and addresses of additional general partners are attached as Exhibit _____, and made a part hereof.",general_partner.additional_attached,high,Single yes/this-applies checkbox (on-state Yes) verified by geometry+text on page 1; boolean binding. Boolean opt-in for an exhibit listing additional general partners (4+).
Text22,1,text,NINTH: …attached as Exhibit ____,general_partner.additional_exhibit_letter,high,Letter of the exhibit containing additional general partners.
