widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
The name of the converting organization,0,text,FIRST: Converting Organization — The name of the converting organization:,entity.name,high,Name of the predecessor (converting) organization. Reuses entity.name (the canonical name handle) rather than introducing a parallel conversion.converting_entity.name namespace — the converting entity is THE entity for this filing. Reviewer corrected drafter's conversion.converting_entity.* namespace which would conflict with the existing convention from MBCA-21 / GP_CONV-PARTNER (where the pre-conversion entity is entity.* and the post-conversion entity is conversion.new_entity.*).
The form of the converting organization,0,text,The form of the converting organization:,entity.form_type,high,"Free-text legal form of the converting entity (e.g., 'Limited Liability Company', 'Limited Partnership'). Novel key — not previously surfaced because most pass-1 forms are entity-type-specific and don't capture the form type as a fillable field. Generic 'entity.form_type' is preferable to a per-form scoped key."
The jurisdiction of the converting organization prior to filing this certificate,0,text,The jurisdiction of the converting organization prior to filing this certificate:,entity.home_jurisdiction,high,Jurisdiction of formation/organization for the converting entity. Reuses the existing key from CLKRA-3 / FICT-4 / MERGFOR (where it represents the same primitive).
The date of its organization,0,text,FIRST (continued): The date of its organization:,entity.original_articles_filing_date,high,Date the converting entity was originally formed/organized. Reuses the existing key from MBCA-11 / MLLP-6A. The form's 'date of its organization' is the same primitive as 'date the original articles of incorporation were filed' — terminology varies by entity type but the underlying concept is the entity's formation-filing date.
The name of the converted resulting organization,0,text,SECOND: Converted (Resulting) Organization — The name of the converted (resulting) organization:,conversion.new_entity.name,high,Name of the post-conversion (resulting) entity. Reuses the existing key from MBCA-21 / GP_CONV-PARTNER which establishes conversion.new_entity.* as the post-conversion namespace.
The form of the converted resulting organization,0,text,The form of the converted (resulting) organization:,conversion.new_entity.type,high,Free-text legal form of the resulting entity. Reuses the existing key from MBCA-21 (free-text) — distinct from GP_CONV-PARTNER's enum-restricted version (4-checkbox radio). MLLCCONV uses the free-text shape since the form provides a single text widget rather than radio checkboxes.
The jurisdiction of the converted resulting organizations governing statute,0,text,The jurisdiction of the converted (resulting) organization's governing statute:,conversion.new_entity.jurisdiction,high,"Jurisdiction of formation for the resulting entity (typically Maine if domesticating, or home state if foreign). Novel key — extends the conversion.new_entity.* namespace for forms where the resulting entity may be foreign (unlike MBCA-21 where the resulting entity is always Maine)."
The date of its organization_2,0,text,SECOND (continued): The date of its organization:,conversion.new_entity.formation_date,medium,"Date the resulting entity is/will be organized. Field-id auto-suffixed '_2' to disambiguate from FIRST's identical label. Novel key — in conversions, the resulting entity's formation_date often matches conversion.effective_date (continuity claim) but the form provides a separate widget so synth/rubric must support both populated independently."
The address of its principal office is,0,text,SECOND (continued): The address of its principal office is:,conversion.new_entity.principal_office_address,high,Principal office address of the resulting entity (single combined widget; not split into street/city components). Novel key extending conversion.new_entity.*.
The date the conversion is effective under the governing statute of the converted organization,0,text,THIRD: The date the conversion is effective under the governing statute of the converted organization:,conversion.effective_date,high,"Date the conversion becomes legally effective under the resulting entity's governing law. Novel key — distinct from MBCA-21's conversion.future_effective_date (which is an OPTIONAL future date capped at 90 days). MLLCCONV's THIRD recital is the actual effectiveness date (mandatory) per §1647, not a future-effective election."
Principal office address,0,text,SIXTH: (Foreign Converted Organization Only) ... address of its principal office for the purposes of §1648.3 is: (line 1),conversion.foreign_resulting_entity.principal_office_address.line1,high,First address line for the foreign resulting entity's principal office (used for §1648.3 service-of-process — Maine SOS becomes agent for service when the resulting entity is foreign). Novel key. Required when conversion.new_entity.jurisdiction is non-Maine; left blank otherwise.
Principal office address_2,0,text,SIXTH (continued): (Principal office address — line 2),conversion.foreign_resulting_entity.principal_office_address.line2,high,"Second address line for the foreign resulting entity's principal office. Form provides two parallel widgets — typically line1=street, line2=city/state/zip, but the form does not enforce that split. Synth/rubric concatenates as needed."
The organizing document for the converted resulting organization is attached as Exhibit,1,text,SEVENTH: Result of Conversion (Select One) — *The organizing document for the converted (resulting) organization is attached as Exhibit ___,conversion.new_entity_provisions_exhibit_letter,high,Inline exhibit-letter for the resulting entity's organizing document. Reuses the existing key from MBCA-21 / GP_CONV-PARTNER which establishes this primitive.
Check Box3,1,text,"SEVENTH (option 1): [ ] *The organizing document for the converted (resulting) organization is attached as Exhibit ___, and made a part hereof",conversion.organizing_document_disposition,high,Mutually-exclusive radio option for conversion.organizing_document_disposition='attached_as_exhibit'. Form text 'Select One' establishes XOR with Check Box5.
Check Box5,1,text,SEVENTH (option 2): [ ] The converted (resulting) is an organization not filing with the Maine Secretary of State's office.,conversion.organizing_document_disposition,high,"Mutually-exclusive radio option for conversion.organizing_document_disposition='not_filing_with_sos' (e.g., the resulting entity is a general partnership or out-of-state entity that doesn't file organic documents with the Maine SOS)."
name and form of converting organization,1,text,Must Be Completed by the Converting Organization — (name and form of converting organization),conversion.signature_block.converting_entity_name_and_form,high,"Combined recital widget that captures the converting entity's name and form together at the signature block (e.g., 'Acme LLC, a Maine limited liability company'). Combined-recital pattern (cf. merger.surviving_entity.name_and_jurisdiction in MBCA-10) — synth derives from entity.name + entity.form_type at fill time."
dated,1,text,(dated),filing.date_signed,high,Signing date for the converting-organization signature block.
type or print name and capacity,1,text,Signer slot 1 — (authorized signature) / (type or print name and capacity),filing.signer_1.printed_name_and_capacity,high,Combined name+capacity for converting-organization signer slot 1 — Shape D per filing-signer-shape convention. Multi-slot extension filing.signer_N.* (same pattern as MLLC-5A / MLLCACSOA).
type or print name and capacity_2,1,text,Signer slot 2 — (authorized signature) / (type or print name and capacity),filing.signer_2.printed_name_and_capacity,high,Combined name+capacity for converting-organization signer slot 2.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,2,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2. Likely populated with conversion.new_entity.name (the resulting entity) for SOS routing — same bundling pattern as MBCA-21.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees (fee structure varies by resulting entity type — see open_questions; expedite premium added per tier).
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Filing-contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Filing-contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,medium,Annual-report reminder email — applies to whichever post-conversion entity will file Maine annual reports. Often left blank or routed to the resulting entity if it remains a Maine filer.
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
