widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,(Real Name of Limited Partnership),entity.name,high,Real (non-fictitious) name of the domestic LP. entity.name per the entity-name-vs-home-jurisdiction convention since this is a Maine-record amendment filing.
Text2,0,text,FIRST: The assumed name of the limited partnership affected by this change,assumed_name.name,high,"The specific assumed/fictitious name being modified by this filing. New schema-gap key — the existing filing.terminated_fictitious_name (MLPA-5A) is termination-specific; this is a MODIFICATION of an active assumed-name registration, so a stable identifier key (assumed_name.name) is appropriate."
Text3,0,text,"SECOND: The location where the assumed name is currently being used, if any",assumed_name.current_location,high,Current location associated with the assumed name (the 'as-is' state that the THIRD section will modify).
Check Box4,0,text,THIRD: Change location(s),assumed_name_change.change_locations,high,Boolean elect-in for the 'change' action. One or more of Check Box4/5/6 may be selected — the form text 'The limited partnership intends to:' permits multiple simultaneous actions in a single filing.
Check Box5,0,text,THIRD: Add additional location(s),assumed_name_change.add_locations,high,Boolean elect-in for the 'add' action.
Check Box6,0,text,THIRD: Delete location(s),assumed_name_change.delete_locations,high,Boolean elect-in for the 'delete' action.
Text7,0,text,THIRD: (provide description of change/addition/deletion in the space provide below) — line 1,assumed_name_change.description.line1,high,First line of the change-description free text. Multi-line widget primitive same as amendment.changes_description.lineN on MLPA-13A — synth concatenates non-empty lines; either may be empty.
Text8,0,text,THIRD: change description — line 2,assumed_name_change.description.line2,high,Second line of the change-description free text.
Check Box9,0,text,"Additional locations are attached as Exhibit ___, and made a part hereof",assumed_name_change.additional_locations_attached,high,Boolean opt-in indicating additional locations are appended on an exhibit (when more locations don't fit in the 2-line inline area).
Text15,0,text,Exhibit ___ [additional locations],assumed_name_change.additional_locations_exhibit_letter,high,Inline single-letter exhibit reference (small ~17pt-wide widget consistent with letter blank).
Text11,1,text,DATED ___,filing.date_signed,high,Signing date. Top-right of page 1 above the GENERAL PARTNER(S) block.
Text12,1,text,GENERAL PARTNER(S)* — (type or print name),filing.signer.printed_name,high,"Printed name of the individual GP signer — Shape B per filing-signer-shape convention (single-widget name-only, capacity implied by '*Statement MUST be signed by at least one general partner' footnote citing 31 MRSA §1324.1.J). Reviewer corrected drafter's general_partner_1.printed_name mapping per MLPA-5A precedent: this form has only ONE inline individual slot and ONE inline entity slot — single-slot post-formation modification matches MLPA-5A which uses filing.signer.* / filing.signer_entity.*. The role-keyed pattern (general_partner_N.*) is reserved for formation-style filings like MLPA-6 where the LP is being created."
Text13,1,text,For General Partner(s) which are Entities — Name of Entity,filing.signer_entity.name,high,Name of an entity general partner when the signer is itself a corporation/LLC/LP rather than an individual. Single-slot — same key family as MLPA-5A's filing.signer_entity.name.
Text14,1,text,For General Partner(s) which are Entities — By ___ (authorized signature) / (type or print name and capacity),filing.signer_entity.signer_printed_name_and_capacity,high,Combined name+capacity of the natural person signing on behalf of the entity GP. Same Shape-D primitive scoped under filing.signer_entity.* — matches MLPA-5A.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,2,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2. Field-id has typo 'entitys' (no apostrophe) preserved upstream.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($35 base per page-0 'Filing Fee $35.00' header plus expedite premium).
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Filing-contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Filing-contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined. Field-id has double-space ('City State  Zip') preserved upstream.
