widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
name,0,text,(Name of Limited Liability Company),entity.name,high,Exact legal name of the LLC on the SOS record (must match the LLC named in the original Statement of Authority).
originally filed,0,text,"Pursuant to 31 MRSA §1543, the undersigned hereby denies the statement of authority originally filed on ___",denial.original_statement_filing_date,high,Filing date of the original Statement of Authority being denied — used by SOS to identify the specific record.
dated,0,text,DATED ___,filing.date_signed,high,Date the denial statement is signed.
name and capacity,0,text,(type or print name and capacity),filing.signer.printed_name_and_capacity,high,Combined printed-name-and-capacity widget. Matches Shape D of filing-signer-shape (used by 31 MRSA / LLC-LP forms — capacity rather than title). The §1676.1.D constraint is that the signer is the person denying; the capacity here typically reads 'Authorized Person' or names the position the denied authority attached to.
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees enclosed.
Name of contact person,1,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,1,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,1,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
