widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Name of the SURVIVING Foreign Entity in the Jurisdiction of Organization,0,text,FIRST: Name of the SURVIVING Foreign Entity in the Jurisdiction of Organization:,merger.surviving_entity.home_jurisdiction_name,high,Surviving entity's name in its home (non-Maine) jurisdiction. Uses the entity-name-vs-home-jurisdiction convention's home_jurisdiction_name primitive scoped under merger.surviving_entity.
Jurisdiction where organized,0,text,Jurisdiction where organized:,merger.surviving_entity.home_jurisdiction,high,State or country where the surviving entity is organized.
If authorized to transact business in Maine the date authorized is,0,text,"If authorized to transact business in Maine, the date authorized is:",merger.surviving_entity.maine_authorization_date,high,"Date the surviving entity was qualified/registered in Maine, if applicable. Blank if survivor was not previously authorized in Maine."
New name of surviving foreign entity if changed as result of merger,0,text,"New name of surviving foreign entity, if changed as result of merger:",merger.surviving_entity.new_name,high,"Post-merger home name of the surviving entity, if the merger changed it. Blank means name unchanged."
pages if necessary,0,text,SECOND: Name of the NONSURVIVING Foreign Entity in the Jurisdiction of Organization (attach additional pages if necessary):,merger.nonsurviving_entity.home_jurisdiction_name,high,"Nonsurviving (merged-away) entity's home name. Field-id is the truncated tail of the label ('attach additional pages if necessary'), an artifact of the template's auto-named widget. The 'attach additional pages' language permits multiple nonsurviving entities to be listed via attachments — only one inline slot is bound."
Jurisdiction where organized_2,0,text,Jurisdiction where organized:,merger.nonsurviving_entity.home_jurisdiction,high,Home jurisdiction of the nonsurviving entity. Field-id is auto-suffixed '_2' to disambiguate from the survivor's identical label.
Date authorized to transact business in Maine if applicable,0,text,Date authorized to transact business in Maine (if applicable):,merger.nonsurviving_entity.maine_authorization_date,high,"Date the nonsurviving entity was qualified/registered in Maine, if applicable. Blank means it was never authorized in Maine."
Text1,1,text,filing.entities[0].name,filing.entities[0].name,high,Mapped widget (live blank).
Text2,1,text,filing.entities[1].name,filing.entities[1].name,high,Mapped widget (live blank).
Check Box10,1,checkbox,Hold attested copy for pick up,filing.expedited_service.hold_for_pickup,high,Mapped widget (live blank).
Check Box11,1,checkbox,24-hour expedited filing ($50),filing.expedited_service.expedite_24h,high,Mapped widget (live blank).
Check Box12,1,checkbox,Immediate expedited filing ($100),filing.expedited_service.immediate,high,Mapped widget (live blank).
Text13,1,text,filing.total_fees_dollars,filing.total_fees_dollars,high,Mapped widget (live blank).
Text14,1,text,filing.contact.name,filing.contact.name,high,Mapped widget (live blank).
Text15,1,text,filing.contact.phone,filing.contact.phone,high,Mapped widget (live blank).
Text16,1,text,filing.contact.email,filing.contact.email,high,Mapped widget (live blank).
Text17,1,text,entity.annual_report_reminder_email,entity.annual_report_reminder_email,high,Mapped widget (live blank).
Text18,1,text,filing.attested_copy_recipient.name,filing.attested_copy_recipient.name,high,Mapped widget (live blank).
Text19,1,text,filing.attested_copy_recipient.firm,filing.attested_copy_recipient.firm,high,Mapped widget (live blank).
Text20,1,text,filing.attested_copy_recipient.mailing_address.street,filing.attested_copy_recipient.mailing_address.street,high,Mapped widget (live blank).
Text21,1,text,filing.attested_copy_recipient.mailing_address.city_state_zip,filing.attested_copy_recipient.mailing_address.city_state_zip,high,Mapped widget (live blank).
