widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,FIRST: The name of the corporation is,entity.name,high,Top-of-form domestic nonprofit corporation name.
Check Box2,0,checkbox,[ ] The corporation is organized as a public benefit corporation for the following purpose or purposes:,entity.nonprofit_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=386.2); enum_select value 'public_benefit'.
Check Box3,0,checkbox,[ ] The corporation is organized as a mutual benefit corporation for the following purpose or purposes:,entity.nonprofit_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=470.0); enum_select value 'mutual_benefit'.
Text4,0,text,THIRD: ...purpose or purposes: (Public Benefit free-text block),entity.public_benefit_purpose,high,"Free-text purpose block — populated only when entity.nonprofit_type='public_benefit'. Reuses NP_MNPCA-6's entity.public_benefit_purpose split rather than a unified entity.purpose_statement, since the form physically separates the two free-text blocks under separate checkboxes."
Text5,0,text,THIRD: ...purpose or purposes: (Mutual Benefit free-text block),entity.mutual_benefit_purpose,high,Free-text purpose block — populated only when entity.nonprofit_type='mutual_benefit'. Parallel to NP_MNPCA-6's entity.mutual_benefit_purpose.
Text6,0,text,FOURTH: It is located in ___ (municipality),entity.location.municipality,high,Maine municipality where the corporation is located. New schema-gap key; the modern NP_MNPCA-6 doesn't capture municipality/county directly because it uses the registered-agent address instead. This older form pre-dates the registered-agent regime.
Text7,0,text,FIFTH: The number of officers is,entity.officers.count,high,Maine county where the corporation is located. Paired with entity.location.municipality.
Text8,0,text,FIFTH: President,entity.officers.president.name,high,"Numeric count of initial officers (typically 4 — President, VP, Secretary/Clerk, Treasurer). Driven by FIFTH recital."
Text9,0,text,FIFTH: Vice-President,entity.officers.vice_president.name,high,Name of the President. Role-keyed officer slot (the form pre-defines four roles); distinct from MBCA-12's officer_N.* indexed-roster pattern (which is for foreign-qualification listings of an arbitrary current officer roster). New schema-gap family entity.officers.<role>.name for forms that pre-define officer roles inline.
Text10,0,text,FIFTH: Secretary or Clerk,entity.officers.secretary_or_clerk.name,high,Name of the Vice-President.
Text11,0,text,FIFTH: Treasurer,entity.officers.treasurer.name,high,Name of the Secretary or Clerk (form labels them together — 13 MRSA terminology preserved verbatim).
Text12,1,text,SIXTH: Director or Trustee 1,director_1.name,high,Name of the Treasurer.
Text13,1,text,SIXTH: Director or Trustee 2,director_2.name,high,First director/trustee name. Indexed roster pattern (per 2026-04-30-officer-roster-pattern.md note on subdividing 'officer_N.*' into 'director_N.*' when forms separate the two).
Text14,1,text,SIXTH: Director or Trustee 3,director_3.name,high,Second director/trustee name.
Text15,1,text,SEVENTH: Contact person (name),entity.contact_person.name,high,Third director/trustee name.
Text16,1,text,SEVENTH: (mailing address),entity.contact_person.mailing_address,high,"Entity-level contact person name. DISTINCT from filing.contact.* (cover-letter filing-correspondence contact) — entity.contact_person.* is the on-record SOS contact, analogous to NP_MNP-3's contact_change.* target."
Text17,1,text,SEVENTH: (physical address),entity.contact_person.physical_address,high,Entity contact person's mailing address (single combined widget; no street/city split).
Text18,1,text,Dated,filing.date_signed,high,Entity contact person's physical address (single combined widget).
Text19,1,text,Dated ___ (top of incorporator block),,,Filing signature date (top of the incorporator-signature block on page 1).
Text20,1,text,Incorporator 1 - Street,incorporator_1.address.street,high,Tentatively mapped to incorporator 1 Street (right-column Street field paired with Dated's row). Widget-row count (10 rows × 2 widgets = 20) does not cleanly match the 6 visually-rendered incorporator slots × 3 widgets each + Dated = 19 expected widgets. See open_questions for the widget-count mismatch — pass-2 visual-fill testing needed.
Text21,1,text,Incorporator 1 - (type or print name),incorporator_1.printed_name,high,"Printed name of incorporator 1. Per-officer signer pattern (13-MRSA §901 formation filing — same shape as MBCA-6, NP_MNPCA-6). Pass-2 testing needed to confirm the row pairing of Text20-Text38."
Text22,1,text,"Incorporator 1 - (city, state and zip code)",incorporator_1.address.city_state_zip,high,City/state/zip of incorporator 1.
Text23,1,text,Incorporator 2: Street,,,Street of incorporator 2 (alternating-row interpretation: print_name → city/state/zip → Street → ...).
Text24,1,text,Incorporator 2 - Street,incorporator_2.address.street,high,Printed name of incorporator 2.
Text25,1,text,Incorporator 2 - (type or print name),incorporator_2.printed_name,high,City/state/zip of incorporator 2.
Text26,1,text,"Incorporator 2 - (city, state and zip code)",incorporator_2.address.city_state_zip,high,Street of incorporator 3.
Text27,1,text,Incorporator 3: (type or print name),,,Printed name of incorporator 3.
Text28,1,text,Incorporator 3 - Street,incorporator_3.address.street,high,City/state/zip of incorporator 3.
Text29,1,text,Incorporator 3 - (type or print name),incorporator_3.printed_name,high,Street of incorporator 4.
Text30,1,text,"Incorporator 3 - (city, state and zip code)",incorporator_3.address.city_state_zip,high,Printed name of incorporator 4.
Text31,1,text,"Incorporator 4: (city, state and zip code)",,,City/state/zip of incorporator 4.
Text32,1,text,Incorporator 4 - Street,incorporator_4.address.street,high,Street of incorporator 5.
Text33,1,text,Incorporator 4 - (type or print name),incorporator_4.printed_name,high,Printed name of incorporator 5.
Text34,1,text,"Incorporator 4 - (city, state and zip code)",incorporator_4.address.city_state_zip,high,City/state/zip of incorporator 5.
Text35,1,text,Incorporator 6: Street,,,Street of incorporator 6.
Text36,1,text,Incorporator 5 - Street,incorporator_5.address.street,high,Printed name of incorporator 6.
