widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Exact Legal Name of Entity on the records of the Secretary of State,0,text,(Exact Legal Name of Entity on the records of the Secretary of State),entity.home_jurisdiction_name,high,"Foreign entity's real name in its home jurisdiction (the name that is unavailable in Maine). Same key as MLLC-12, CORP_FICT-4 — foreign-qualification convention per schema-gaps/2026-04-30-entity-name-vs-home-jurisdiction.md."
undefined,0,text,FIRST: The entity must transact business under the fictitious name of,entity.maine_fictitious_name,high,The fictitious name to be used in Maine. Same key as MLLC-12 / CORP_FICT-4.
and the date on which,0,text,SECOND: Jurisdiction of incorporation/organization ___ and the date on which,entity.home_jurisdiction,high,"Field NAME is 'and the date on which' (auto-generated from the label text immediately following the blank), but the widget at rect [272.8, 379.1, 454.3, 402.2] captures the Jurisdiction value BEFORE that text. Holds the entity's home state/country. Same field-id quirk as CORP_FICT-4 (the PDFs are md5-identical)."
undefined_2,0,text,the entity was authorized to transact business in Maine,entity.maine_authorization_date,high,"Date the foreign entity was authorized to transact business in Maine. Widget at rect [323.6, 352.2, 568.9, 378.1] sits one line below the jurisdiction blank, consistent with the form's two-line SECOND recital."
DATED,0,text,DATED ___,filing.date_signed,high,Signing date.
type or print name,0,text,(type or print name),filing.signer.printed_name,high,Signer printed name. Shape A (split name + title) per schema-gaps/2026-04-30-filing-signer-shape.md — matches CORP_FICT-4 and CORP_CLKRA-3.
title of signer,0,text,(title of signer),filing.signer.title,high,"Signer title. For a foreign nonprofit corporation invoking this form, allowed titles per §1304 are President, Vice-President, Secretary, Treasurer, or other duly authorized officer."
Name of entity,1,text,Name of entity(s) on submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2. Field-id has typo 'entitys' (no apostrophe) preserved upstream.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed,filing.total_fees_dollars,high,Total fees ($25 nonprofit base per page-0 header plus expedite premium).
Name of contact person,1,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,1,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,1,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined. Field-id has double-space ('City State  Zip') preserved upstream.
