widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
arti,0,radio,(Check one box only) to accompany the following:,filing.accompanying_filing_type,high,"Real AcroForm radio GROUP named 'arti' (/Btn, 6 kids) at top of page 0. Export on-states map to enum: domestication=Yes(y668), domestication_conversion=arti2(y652), entity_conversion=arti3(y638), merger_or_share_exchange=arti4(y625), partnership_conversion=arti5(y612), restated_articles=arti6(y598). Was previously 6 bogus positional placeholders."
Check Box31,0,checkbox,(Check only if applicable) [ ] This is a professional corporation* formed pursuant to 13 MRSA Chapter 22-A to provide the following professional services:,entity.is_professional_corporation,high,"Boolean elect-in for professional-corporation status. Real /Btn (on-state /Yes) at y=525.5."
Text1,0,text,(type of professional services) — line 1,entity.professional_services_description,high,Professional services description (line 1; concatenated with line 2 by filler).
Text2,0,text,(type of professional services) — line 2,entity.professional_services_description,high,Professional services description (line 2). Same canonical key as line 1; filler concatenates.
Check Box30,0,checkbox,(Check only if applicable) [ ] This is a benefit corporation formed pursuant to 13-C MRSA §1803. This election has been adopted by at least the minimum status vote as defined in 13-C MRSA §1802.7.,entity.is_benefit_corporation,high,Boolean elect-in for benefit-corporation status. Real /Btn (on-state /Yes) at y=408.3.
Text7,0,text,FIRST: The name of the corporation is,entity.name,high,Primary entity name field. Wide single-line widget at y=361.7.
Text10,0,text,SECOND: [ ] Commercial Clerk    CRA Public Number: ___,clerk.cra_public_number,high,"Right-aligned narrow field on the Commercial-Clerk row (x0=374.4 y=303.4). Required only when clerk.type='commercial'."
clerk,0,radio,SECOND: [ ] Commercial Clerk / [ ] Noncommercial Clerk,clerk.type,high,"Real AcroForm radio GROUP named 'clerk' (/Btn, 2 kids). Export on-states: commercial=Yes(y303), noncommercial=clerk2(y241). Was previously 2 bogus positional placeholders."
Text3,0,text,(name of commercial clerk),clerk.name,high,Full-width name line for commercial-clerk path (y=277.2). Same canonical key as Text4.
Text4,0,text,(name of noncommercial clerk),clerk.name,high,Full-width name line for noncommercial-clerk path (y=218.3). Same canonical key as Text3.
Text5,0,text,"(physical location, not P.O. Box – street, city, state and zip code)",clerk.physical_address,high,"Single-line concatenated physical address (no P.O. Box), y=181.0."
Text6,0,text,(mailing address if different from above),clerk.mailing_address,high,"Optional single-line mailing address, y=147.0."
class,1,radio,FOURTH: [ ] one class of shares / [ ] two or more classes or series,entity.share_structure,high,"Real AcroForm radio GROUP named 'class' (/Btn, 2 kids). Export on-states: single_class=Yes(y724), multi_class=class2(y674). Was previously 2 bogus positional placeholders."
Text9,1,text,FOURTH: ...The number of authorized shares is ___,entity.authorized_shares_total,high,"Inline numeric blank on the single-class option (right end of the row, x0=438.5 y=723.0). Verified visually against the rendered page."
Text8,1,text,(Optional) Name of class:,entity.share_class_name,high,"Optional class label for the single-class election (wide field below the shares row, x0=210.8 y=699.4). Verified visually against the rendered page."
Text11,1,text,FOURTH (multi-class): ...is set forth in Exhibit ___ attached hereto,entity.multi_class_exhibit_letter,high,"Tiny inline single-letter exhibit blank for the multi-class election (x0=375.1 y=660.2)."
fifth,1,radio,FIFTH: [ ] will have a board of directors / [ ] no directors (managed by shareholders),entity.has_board_of_directors,high,"Real AcroForm radio GROUP named 'fifth' (/Btn, 2 kids). Export on-states: true(has board)=Yes(y600), false(no board)=fifth2(y575). Was previously 2 bogus positional placeholders."
Check Box23,1,checkbox,SIXTH: [ ] The number of directors is limited as follows: not fewer than ___ nor more than ___ directors. (13-C MRSA §803),entity.directors_count_limited,high,Opt-in checkbox enabling Text12 / Text13. Real /Btn (on-state /Yes) at y=501.9.
Text12,1,text,not fewer than ___,entity.directors_min_count,high,Inline numeric — minimum number of directors (x0=382.9 y=500.4).
Text13,1,text,nor more than ___ directors,entity.directors_max_count,high,Inline numeric — maximum number of directors (x0=466.7 y=500.4).
Check Box22,1,checkbox,"SIXTH: [ ] To the fullest extent permitted by 13-C MRSA §202.2.D, a director shall have no liability to the Corporation or its shareholders for money damages for an action taken or a failure to take action as a director.",entity.director_liability_limited,high,Opt-in for the §202.2.D director-liability shield. Real /Btn (on-state /Yes) at y=464.6.
Check Box21,1,checkbox,"SIXTH: [ ] Except as otherwise specified by contract or in its bylaws, the Corporation shall in all cases provide indemnification for its directors and officers to the fullest extent permitted by law (13-C MRSA §§202, 857, 859).",entity.mandatory_indemnification,high,Opt-in for mandatory director/officer indemnification. Real /Btn (on-state /Yes) at y=414.2. field_type corrected text->checkbox.
Check Box16,1,checkbox,SEVENTH: (Check only if applicable) [ ] The Corporation elects to have preemptive rights as defined in 13-C MRSA §641.,entity.preemptive_rights_elected,high,Boolean elect-in for shareholder preemptive rights. Real /Btn (on-state /Yes) at y=329.8.
Check Box20,1,checkbox,EIGHTH: (Check only if applicable) [ ] Additional provisions of these Articles of Incorporation are set forth in Exhibit ___ attached hereto and made a part hereof. (13-C MRSA §202),entity.additional_provisions_present,high,Boolean opt-in indicating an additional-provisions exhibit is attached. Real /Btn (on-state /Yes) at y=267.6.
Text14,1,text,EIGHTH: ...set forth in Exhibit ___ attached hereto,entity.additional_provisions_exhibit_letter,high,Tiny inline single-letter exhibit blank for the EIGHTH (additional provisions) election (x0=454.9 y=265.5).
