widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
LPNAME,0,text,(Name of Limited Partnership in Jurisdiction of Organization),entity.home_jurisdiction_name,high,"Foreign LP's legal name in its home jurisdiction. Same key family as LP_MLPA-12-1, LP_MLPA-12A (foreign-LP), LLC_MLLC-12, FICT-4."
MELPNAME,0,text,FIRST: The proposed limited partnership name* to be used in this State,entity.maine_assumed_name_for_suffix,high,"Alternate Maine-use name that contains the required statutory suffix (per 31 MRSA §1308.1.A.2 must contain 'Limited Partnership', 'L.P.', or 'LP'). Same key as LP_MLPA-12-1, LP_MLPA-12A."
FICTNAME,0,text,SECOND: ...the fictitious name under which it proposes to apply for authority,entity.maine_fictitious_name,high,Fictitious Maine name under 31 MRSA §1415.1 when the home name is unavailable in Maine. Same key as LP_MLPA-12-1.
Check Box4,0,text,Form FICT-4 accompanies this application.,filing.fict4_accompanies,high,"Boolean indicating Form FICT-4 (fictitious-name registration) is bundled. Same key as LP_MLPA-12-1, LP_MLPA-9."
DATEOFORG,0,text,THIRD: Date of organization,entity.formation_date_in_home_jurisdiction,high,"Date the LP was originally organized in its home jurisdiction. Same key as LP_MLPA-12-1, CORP_MBCA-12."
JURI,0,text,Jurisdiction of organization,entity.home_jurisdiction,high,State or country where the LP was organized.
POADD,0,text,FOURTH: The street and mailing address of the foreign limited partnership's principal office is: (physical location...),entity.principal_office.physical_address,high,"Physical address of the principal office (single-line: street, city, state, zip)."
POMAIL,0,text,FOURTH: (mailing address if different from above),entity.principal_office.mailing_address,high,Optional mailing address of the principal office.
POADD2,0,text,FIFTH: The street and mailing address of the foreign limited partnership's required office is: (physical location...),entity.required_office.physical_address,high,Physical address of the required office in the home jurisdiction (only when home law requires the LP to maintain a required office).
POADD2CITY,0,text,FIFTH: (mailing address if different from above),entity.required_office.mailing_address,high,"Optional mailing address of the required office. (Field name 'POADD2CITY' is misleading — its rect and position match the FIFTH-block 'mailing address if different' line, not a separate city component.)"
Check Box29,1,checkbox,SIXTH: [ ] Commercial Registered Agent,registered_agent.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 1; enum_select value 'commercial'.
Text10,1,text,CRA Public Number,registered_agent.cra_public_number,high,Maine SOS CRA Public Number; required when registered_agent.type='commercial'.
Text11,1,text,(name of commercial registered agent),registered_agent.name,high,Name of the commercial registered agent (one of two name slots). Synth fills exactly one of Text11/Text12 based on registered_agent.type.
Check Box30,1,checkbox,SIXTH: [ ] Noncommercial Registered Agent,registered_agent.type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 1; enum_select value 'noncommercial'.
Text12,1,text,(name of noncommercial registered agent),registered_agent.name,high,Name of the noncommercial registered agent (alternative slot to Text11).
Text13,1,text,"(physical location, not P.O. Box – street, city, state and zip code)",registered_agent.physical_address,high,Physical address of the registered agent in Maine (NOT a P.O. Box).
Text14,1,text,(mailing address if different from above),registered_agent.mailing_address,high,Optional mailing address of the registered agent.
Text15,1,text,EIGHTH: Name (general partner row 1),general_partner_1.name,high,First general partner's name. Per-officer roster for LP general partners.
Text16,1,text,EIGHTH: Address (general partner row 1),general_partner_1.address,high,First general partner's address (single-line).
Text17,1,text,EIGHTH: Name (general partner row 2),general_partner_2.name,high,Second general partner's name.
Text18,1,text,EIGHTH: Address (general partner row 2),general_partner_2.address,high,Second general partner's address.
Text19,1,text,EIGHTH: Name (general partner row 3),general_partner_3.name,high,Third general partner's name.
Text20,1,text,EIGHTH: Address (general partner row 3),general_partner_3.address,high,Third general partner's address.
Check Box31,1,text,Names and addresses of additional general partners are attached as Exhibit ___,general_partner.additional_attached,high,Boolean opt-in for an exhibit listing additional general partners (4+).
Text21,1,text,Exhibit ___,general_partner.additional_exhibit_letter,high,Letter of the exhibit containing additional general partners.
Check Box32,1,checkbox,NINTH: The foreign limited partnership is a limited liability limited partnership.,entity.is_lllp,high,"Boolean elect-in for LLLP status. Same key as LP_MLPA-12-1, LP_MLPA-9."
Check Box33,1,checkbox,TENTH: This is a professional limited liability limited partnership...,entity.is_plllp,high,"Boolean elect-in for PLLLP status. Same key as LP_MLPA-12-1, LP_MLPA-9."
Text22,1,text,(provide the following professional services: ...) line 1,entity.professional_services_description.line1,high,"First line of the professional-services description (PLLLP only). Multi-line shape primitive matching LP_MLPA-12-1's entity.professional_services_description.line{1,2}."
Text23,1,text,(provide the following professional services: ...) line 2,entity.professional_services_description.line2,high,Second line of the professional-services description.
Text24,2,text,Dated ____,filing.date_signed,high,Date the application is signed.
Text25,2,text,General Partner(s)*** — (signature) / (type or print name),filing.signer.printed_name,high,"Printed name of the signing general partner — Shape B (name only, no capacity widget). Foreign-qualification (existing LP) uses filing.signer.* family rather than per-officer pattern (which is reserved for FORMATION forms like LP_MLPA-6 where there are no pre-existing officers). The (signature) line above is wet-ink only."
Text26,2,text,For General Partner(s)*** which are Entities — Name of Entity,filing.signer_entity.name,high,"Name of the entity-GP when the signer is an entity rather than a natural person. Same key family as LLP_MLLP-17, GP_MPA-1, LLP_MLLP-17A."
