widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
11l1,0,text,(Name of Corporation),entity.name,high,Domestic-corporation name being dissolved.
11l2,0,text,FIRST: The date of incorporation is,entity.original_articles_filing_date,high,Date the original articles of incorporation were filed with the SOS. Reuses the existing key from MBCA-11 (where it represents the same concept on the §1404 dissolution path) and MLLP-6A (restated certificate). The form's wording 'date of incorporation' is shorthand for the same primitive.
11l3,0,text,SECOND: The date that the dissolution was authorized is,dissolution.authorization_date,high,Date the dissolution was authorized by the requisite incorporators/initial directors. Reuses the existing key from MBCA-11.
11l4,0,text,THIRD: The effective date of the articles of dissolution (if other than the date of filing of the articles of dissolution) is,dissolution.effective_date,high,Optional delayed effective date; blank means effective on filing. Reuses the existing key from MBCA-11.
Check Box4,0,text,FOURTH: [ ] None of the corporation's shares have been issued.,dissolution.early_dissolution_basis,high,"Mutually-exclusive radio option for dissolution.early_dissolution_basis='no_shares_issued' (per 13-C MRSA §1401.1, this is one of the two statutory bases for incorporator/initial-director dissolution). Form text 'X one box only' establishes XOR with Check Box5."
Check Box5,0,text,FOURTH: [ ] The corporation has not commenced business.,dissolution.early_dissolution_basis,high,"Mutually-exclusive radio option for dissolution.early_dissolution_basis='not_commenced_business' (per 13-C MRSA §1401.2, the second statutory basis)."
11l7,0,text,DATED ___,filing.date_signed,high,Signing date.
11l8,0,text,Signer slot 1 — (type or print name and capacity),filing.signer_1.printed_name_and_capacity,high,Combined name+capacity for the first signer — Shape D per filing-signer-shape convention. Multi-slot extension of filing.signer.* (filing.signer_N.* indexed list when the form provides multiple parallel signer slots) — same pattern as MLLC-5A. Capacity is typically 'Incorporator' or 'Initial Director' per the form footer.
11l9,0,text,Signer slot 2 — (type or print name and capacity),filing.signer_2.printed_name_and_capacity,high,"Combined name+capacity for the second signer. The form footer requires 'a majority of the incorporators or initial directors' — when there are 2-3 originators, both slots are typically populated."
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,1,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($75 base per page-0 header plus expedite premium).
Name of contact person,1,text,Name of contact person,filing.contact.name,high,Filing-contact name.
Daytime telephone number,1,text,Daytime telephone number,filing.contact.phone,high,Filing-contact phone.
Contact email address for this filing,1,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,medium,Annual-report reminder email — typically left blank since a dissolved entity won't receive future reports (same caveat as MBCA-11).
Name of attested copy recipient,1,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
